Player,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Doug McDermott ,2017-18,26,NYK,NBA,SF,55,1172,9.9,0.562,0.418,0.162,3.1,9.5,6.3,6,0.4,0.9,8.8,14.4,,1.1,0.3,1.3,0.055,,-0.6,-1.9,-2.5,-0.1
Doug McDermott ,2017-18,26,DAL,NBA,SF,26,596,11.5,0.611,0.439,0.156,1.3,11.4,6.1,7.5,0.8,0.6,10.3,16.3,,0.6,0.3,1,0.077,,-0.8,-1.4,-2.2,0
Devin Harris ,2017-18,34,DAL,NBA,PG,44,807,13.5,0.56,0.44,0.394,1.2,10.8,5.8,16.4,2.1,0.9,12.8,21.5,,0.7,0.7,1.4,0.085,,-0.5,-0.9,-1.4,0.1
Devin Harris ,2017-18,34,DEN,NBA,PG,27,533,12.4,0.568,0.6,0.341,0.6,8.2,4.4,17.7,1.3,0.6,12.1,18.2,,0.9,0.2,1.1,0.096,,0.5,-3.3,-2.8,-0.1
Emmanuel Mudiay,2017-18,21,DEN,NBA,PG,42,752,12.3,0.504,0.317,0.242,2.4,11.6,7,24.1,1.4,0.4,16.8,24.8,,0,0.3,0.3,0.019,,-2.2,-2.9,-5,-0.6
Emmanuel Mudiay,2017-18,21,NYK,NBA,PG,22,493,10.2,0.428,0.225,0.25,2.3,10.8,6.5,25,2,1.2,15.3,23.7,,-0.7,0.4,-0.3,-0.034,,-3.3,-0.9,-4.3,-0.3
Dante Cunningham,2017-18,30,NOP,NBA,SF,51,1115,8.4,0.525,0.48,0.16,5,13.4,9.4,3,1.2,1.1,6.2,10,,0.7,0.9,1.6,0.067,,-1.6,-0.1,-1.7,0.1
Dante Cunningham,2017-18,30,BRK,NBA,SF,22,447,13.8,0.561,0.432,0.115,6.6,18.5,12.5,7.6,1.3,2.3,10.4,15.8,,0.4,0.4,0.9,0.092,,-1,0.4,-0.6,0.2
Bruno Caboclo,2017-18,22,TOR,NBA,SF,2,7,-0.1,0,1,0,0,15.7,8,16.7,7,0,0,12.5,,0,0,0,-0.113,,-6.8,4.4,-2.4,0
Bruno Caboclo,2017-18,22,SAC,NBA,SF,10,100,7.9,0.411,0.517,0.207,7.6,16.6,12,4.2,1,3.8,11.2,16,,-0.1,0.1,0,-0.015,,-4.5,-0.5,-5,-0.1
Malachi Richardson,2017-18,22,SAC,NBA,SG,25,319,5.8,0.445,0.443,0.25,1.7,10.4,5.9,5.7,1.6,0.3,9.3,15.2,,-0.2,0.1,-0.1,-0.016,,-4.3,-2,-6.3,-0.3
Malachi Richardson,2017-18,22,TOR,NBA,SG,1,5,10.5,0.5,0.5,0,0,22,11.2,0,0,0,0,17.5,,0,0,0,0.045,,-5.1,-6.4,-11.5,0
Noah Vonleh,2017-18,22,POR,NBA,PF,33,476,12,0.543,0.063,0.323,8.1,30,19.1,3.8,0.6,1.9,12,11.5,,0.4,0.7,1.2,0.117,,-4.1,0.7,-3.3,-0.2
Noah Vonleh,2017-18,22,CHI,NBA,PF,21,399,13.9,0.484,0.435,0.196,9.1,30.4,19.3,8,1.6,1.3,9.6,18.1,,0,0.4,0.5,0.059,,-2.6,-0.1,-2.8,-0.1
Elfrid Payton,2017-18,23,ORL,NBA,PG,44,1257,18.1,0.564,0.146,0.249,4.1,11.2,7.6,35.5,2.5,1,18.3,21.8,,1.6,1.1,2.7,0.104,,1,0.1,1.1,1
Elfrid Payton,2017-18,23,PHO,NBA,PG,19,551,13.1,0.481,0.12,0.258,3.2,16.3,9.7,33.7,1.7,0.9,18.8,22.1,,-0.2,0.3,0.1,0.009,,-2,-0.1,-2.1,0
